,Title,Year,Genre,Rating,Votes
252,Red Dog,2011,"Biography,Comedy,Drama",7.4,15357
253,Warcraft,2016,"Action,Adventure,Fantasy",6.9,225557
254,Devil's Knot,2013,"Biography,Crime,Drama",6.1,18716
255,Folk!,2010,Documentary,7.7,9
256,It's Kind of a Funny Story,2010,"Comedy,Drama,Romance",7.1,125583
257,The Mule,2013,"Comedy,Drama",6.2,653
258,Spoon,2011,"Action,Drama,Fantasy",6.6,108
259,A Letter to Elia,2010,Documentary,7.6,799
260,The Last Pogo Jumps Again,2013,"Documentary,Music",9.3,42
261,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939
262,Belle du Seigneur,2012,"Drama,Romance",5.3,1125
263,Cross the Line,2010,Action,3.9,39
264,The Danish Girl,2015,"Biography,Drama,Romance",7.1,146873
265,Eyes of the Mothman,2011,Documentary,6.3,293
266,Jack and Jill,2011,Comedy,3.3,71361
267,Take Me Home Tonight,2011,"Comedy,Drama,Romance",6.3,48393
268,Plumíferos - Aventuras voladoras,2010,"Adventure,Animation,Family",4.0,165
269,Lavoe,2011,"Drama,Music",7.4,65
270,The Do-Deca-Pentathlon,2012,Comedy,6.0,1627
271,Meridian Lines,2013,Drama,6.8,84
272,American Flyer,2010,Adventure,6.4,85
273,Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure,Family,Fantasy",5.9,165108
274,Ashes,2010,Drama,7.1,68
275,She's Out of My League,2010,"Comedy,Romance",6.4,117245
276,Card Subject to Change,2010,Documentary,6.7,223
277,The Book Thief,2013,"Drama,War",7.6,119023
278,Conan the Barbarian,2011,"Action,Adventure,Fantasy",5.2,90834
279,Shanghai Hotel,2011,Drama,6.3,36
280,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,1299334
281,World War Z,2013,"Action,Adventure,Horror",7.0,553751
282,Flipped,2010,"Comedy,Drama,Romance",7.7,74937
283,Valentine's Day,2010,"Comedy,Romance",5.7,107171
284,The Power of Few,2013,"Action,Crime,Drama",5.2,3322
285,Dreamkiller,2010,Thriller,4.9,105
286,Soupernatural,2010,Drama,6.7,27
287,Manhattan Minutiae,2016,"Comedy,Music,Romance",5.6,19
288,Priest,2011,"Action,Adventure,Fantasy",5.7,108320
289,The Long Falling,2011,Drama,6.5,121
290,Maximum Ride,2016,"Action,Adventure,Comedy",3.7,3913
291,Caravaggio and My Mother the Pope,2018,"Comedy,Drama",8.9,51
292,Return to Yucca Flats: Desert Man-Beast,2010,"Comedy,Horror",5.8,21
293,Magic,2010,"Adventure,Family",3.2,94
294,Wild in the Streets,2012,Documentary,8.3,37
295,Dracula Untold,2014,"Action,Drama,Fantasy",6.3,164829
296,Gallowwalkers,2012,"Action,Horror,Thriller",3.6,6793
297,Waking Madison,2010,Drama,6.0,1317
298,Godzilla,2014,"Action,Adventure,Sci-Fi",6.4,350687
299,Land,2010,Documentary,7.4,33
300,The Babymakers,2012,Comedy,5.0,8147
301,Electric Slide,2014,"Action,Biography,Crime",4.6,701
302,Krystal,2017,"Comedy,Drama",5.3,846
303,Pee-wee's Big Holiday,2016,"Adventure,Comedy,Family",6.2,6362
304,Approaching Midnight,2013,"Crime,Drama,Romance",5.0,239
305,Hotel Transylvania,2012,"Animation,Comedy,Family",7.1,204571
306,Pet Sematary,2019,"Horror,Mystery,Thriller",6.0,34472
307,Retreat!,2016,"Comedy,Drama,War",7.9,12
308,Bhopal: A Prayer for Rain,2014,Drama,7.3,1830
309,Everyday Sunshine: The Story of Fishbone,2010,"Documentary,Music",7.6,321
310,The Town,2010,"Crime,Drama,Thriller",7.6,322524
311,Río de oro,2010,Western,6.1,70
312,Whatever Happened to Pete Blaggit?,2012,"Comedy,Sci-Fi",6.6,50
313,The Kids Are All Right,2010,"Comedy,Drama,Romance",7.0,120656
314,The Fallen Word,2013,"Drama,Fantasy,Mystery",7.4,35
315,Ivan Mosjoukine ou L'enfant du carnaval,2016,Documentary,9.0,5
316,Killer by Nature,2010,"Adventure,Crime,Drama",3.9,257
317,Pox,2011,"Comedy,Sci-Fi",7.5,56
318,Hoodwinked Too! Hood vs. Evil,2011,"Animation,Comedy,Crime",4.8,11281
319,Gangster Exchange,2010,Action,4.6,436
320,Loot,2011,"Action,Comedy,Crime",3.6,278
321,Neowolf,2010,"Horror,Thriller",2.3,418
322,Night Traveler,2013,Adventure,8.2,11
323,Fun in the Army,2010,Comedy,4.5,15
324,The Speed of Thought,2011,"Sci-Fi,Thriller",4.8,1503
325,The Avengers,2012,"Action,Adventure,Sci-Fi",8.1,1183655
326,Epic,2013,"Adventure,Animation,Family",6.7,95318
327,The Sighting,2016,"Horror,Sci-Fi,Thriller",3.8,747
328,Duel of Legends,2018,"Action,Drama,Sport",6.0,35
329,Amsteroid,2018,Sci-Fi,5.6,13
330,Jack & Diane,2012,"Drama,Horror,Romance",4.5,2538
331,Jackson Arms,2015,Romance,6.1,15
332,Risen,2010,"Biography,Drama",5.3,182
333,Sir Billi,2012,"Adventure,Animation,Comedy",4.2,445
334,Naked Run,2011,Comedy,5.2,72
335,A Summer Song,2010,Drama,6.3,7
336,This Is What Love in Action Looks Like,2011,Documentary,6.8,198
337,Kolorádó Kid,2010,"Drama,Romance",6.0,135
338,The Sweeney,2012,"Action,Crime,Drama",6.1,18095
339,2001 Maniacs: Field of Screams,2010,"Comedy,Horror",3.3,2141
340,Bolden,2019,Drama,5.4,202
341,Immortal Island,2011,"Adventure,Horror,Thriller",5.6,87
342,Wide Blue Yonder,2010,"Comedy,Drama",5.7,69
343,Super Troopers 2,2018,"Comedy,Crime,Mystery",6.1,20104
344,Evangelion: 3.0 You Can (Not) Redo,2012,"Action,Animation,Drama",7.0,8215
345,Zenitram,2010,"Action,Adventure,Comedy",4.7,91
346,Lupin the 3rd,2014,"Action,Adventure,Comedy",5.6,1288
347,Dukun,2018,"Horror,Thriller",6.9,307
348,Mr. Peabody & Sherman,2014,"Adventure,Animation,Comedy",6.8,57277
349,Letting Go,2012,"Drama,Romance",6.5,75
350,6 Month Rule,2011,Comedy,4.9,595
351,Catharsis,2011,Mystery,6.6,11
352,Touch Wood,2010,Comedy,8.7,15
353,The Nightclub Days,2012,Comedy,5.0,7
354,"Surprise, Surprise",2010,Drama,4.9,162
355,My Soul to Take,2010,"Horror,Mystery,Thriller",4.8,18381
356,Red State,2011,"Action,Crime,Horror",6.2,59266
357,The Dot Man,2017,"Drama,Thriller",7.5,42
358,Beijing Taxi,2010,Documentary,6.8,55
359,The Secret Philosophy,2010,Thriller,7.6,15
360,Rain Falls from Earth: Surviving Cambodia's Darkest Hour,2011,Documentary,7.1,7
361,Rift,2011,"Horror,Thriller",2.7,404
362,Bury the Hatchet,2010,Documentary,8.6,14
363,Bulletface,2010,Thriller,5.8,875
364,First Circle,2010,Documentary,7.0,33
365,Jewtopia,2012,"Comedy,Romance",4.5,1342
366,Please Give,2010,"Comedy,Drama",6.6,10652
367,Harm's Way,2010,Thriller,5.3,250
368,Torn,2010,Thriller,6.8,21
369,Eat Pray Love,2010,"Drama,Romance",5.8,77709
370,Mama I Want to Sing,2011,Musical,5.0,282
371,Sanctum,2011,"Adventure,Drama,Thriller",5.9,51318
372,AIR: The Musical,2010,"Comedy,Musical,Romance",7.2,59
373,Snitch,2013,"Action,Drama,Thriller",6.5,78142
374,Wreckage,2010,"Horror,Thriller",4.3,1045
375,Drain Baby,2011,Horror,7.0,46
376,Legends of Oz: Dorothy's Return,2013,"Adventure,Animation,Family",5.5,5351
377,The Wedding Ringer,2015,Comedy,6.7,66893
378,Hyenas,2011,Horror,2.8,952
379,Repo,2010,"Comedy,Drama",4.5,215
380,Rollerboy,2013,Documentary,8.3,13
381,Honor,2010,"Crime,Drama,Thriller",5.6,29
382,The Switch,2010,"Comedy,Drama,Romance",6.1,90661
383,Hamlet A.D.D.,2014,"Animation,Comedy,Fantasy",7.1,78
384,Gun of the Black Sun,2011,Fantasy,6.1,68
385,Letters to Juliet,2010,"Adventure,Comedy,Drama",6.6,86137
386,How to Train Your Dragon,2010,"Action,Adventure,Animation",8.1,611299
387,Shrek Forever After,2010,"Adventure,Animation,Comedy",6.3,167532
388,Blur,2011,"Drama,Mystery,Thriller",7.0,33
389,From Prada to Nada,2011,"Comedy,Drama,Romance",5.6,13644
390,The Whistleblower,2010,"Action,Biography,Crime",7.2,29826
391,Don't Fade Away,2010,Drama,5.4,302
392,The Key Man,2011,"Crime,Drama,Thriller",5.6,263
393,Suite Française,2014,"Drama,Romance,War",7.0,19978
394,Psych:9,2010,"Horror,Mystery,Thriller",4.5,2072
395,Acts of Violence,2010,"Crime,Drama,Thriller",7.0,99
396,Westbrick Murders,2010,"Action,Crime,Thriller",2.7,351
397,The Hobbit: An Unexpected Journey,2012,"Adventure,Family,Fantasy",7.9,719629
398,Love & Mercy,2014,"Biography,Drama,Music",7.4,32238
399,The Thing,2011,"Horror,Mystery,Sci-Fi",6.2,111900
400,The Grind,2012,"Crime,Thriller",2.8,281
401,The Unlikely's,2016,Comedy,7.1,15
402,Black Butterflies,2011,"Biography,Drama",6.2,1941
403,Prey,2010,"Adventure,Drama,Horror",5.3,840
404,Eager to Die,2010,"Drama,Thriller",5.0,13
405,Exposed,2012,"Drama,Mystery,Thriller",6.6,44
406,A Merry Friggin' Christmas,2014,Comedy,5.1,5415
407,Movin' In,2010,"Comedy,Romance",7.0,41
408,House Under Siege,2010,"Action,Thriller",4.0,82
409,Monkeyman935,2010,Horror,6.8,11
410,Unthinkable,2010,"Crime,Drama,Thriller",7.1,80152
411,Jackboots on Whitehall,2010,"Animation,Comedy,Sci-Fi",5.3,1178
412,Gangster Kittens,2016,"Drama,Thriller",7.5,11
413,Periphery,2011,Drama,7.5,24
414,Victim,2010,"Horror,Thriller",6.0,4113
415,The Legend of Tarzan,2016,"Action,Adventure,Drama",6.3,150154
416,The Happy Housewife,2010,"Comedy,Drama,Romance",6.7,2642
417,The Dead Undead,2010,"Action,Horror,Sci-Fi",3.0,791
418,Truth About Kerry,2010,"Drama,Mystery,Thriller",5.5,217
419,Pizza with Bullets,2010,Comedy,8.3,36
420,Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure,Fantasy,Mystery",7.7,425530
421,Road to Red,2016,"Action,Adventure,Horror",6.7,369
422,White Men Can't Dance,2012,"Drama,Family",4.3,46
423,The Penthouse,2010,Comedy,3.7,1345
424,Deep Gold 3D,2011,Action,3.3,315
425,The Man in the Silo,2016,Drama,5.6,116
426,June 9,2018,"Horror,Mystery,Thriller",4.6,317
427,"Glenn, the Flying Robot",2010,"Drama,Sci-Fi",3.8,299
428,The Waiter,2010,"Action,Crime,Drama",6.4,221
429,Rabbit Hole,2010,Drama,7.0,45357
430,Joe Dick,2017,Comedy,5.5,27
431,The Devil's Flower,2010,"Mystery,Romance",1.7,201
432,The Last Airbender,2010,"Action,Adventure,Family",4.1,137734
433,Freaky Deaky,2012,"Comedy,Crime,Thriller",6.1,6088
434,Silent Hill: Revelation,2012,Horror,5.0,56832
435,Arthur 3: The War of the Two Worlds,2010,"Adventure,Animation,Family",5.5,7162
436,White Knuckles,2010,"Drama,Thriller",6.3,77
437,Salt,2010,"Action,Mystery,Thriller",6.4,277204
438,Source Code,2011,"Action,Drama,Sci-Fi",7.5,452036
439,Black Swan,2010,"Drama,Thriller",8.0,648854
440,Green Zone,2010,"Action,Drama,Thriller",6.8,122132
441,The Amazing Spider-Man,2012,"Action,Adventure,Sci-Fi",7.0,525632
442,Coffee Sex You,2014,Drama,6.5,11
443,The Killer Inside Me,2010,"Crime,Drama,Horror",6.1,31727
444,Robin Hood,2010,"Action,Adventure,Drama",6.6,239480
445,Reach Me,2014,"Comedy,Crime,Drama",4.9,2304
446,Nine Dead,2010,"Crime,Drama,Horror",5.5,11358
447,Heart of Now,2010,Drama,6.9,83
448,Let Me Survive,2013,Drama,4.2,22
449,Beautiful Darling,2010,Documentary,7.3,499
450,Private Security Officer: Los Angeles,2010,"Action,Comedy,Crime",7.0,15
451,"Truth in Numbers? Everything, According to Wikipedia",2010,Documentary,7.0,109
452,Avenge,2014,Drama,7.4,14
453,A Monster in Paris,2011,"Adventure,Animation,Comedy",6.7,18254
454,Devour,2011,Horror,4.9,19
455,The Trouble with Cali,2012,Comedy,5.0,54
456,The House of Sun,2010,Drama,6.5,559
457,Made in Romania,2010,Comedy,5.3,231
458,Feast of the Assumption: BTK and the Otero Family Murders,2010,"Crime,Documentary",6.0,215
459,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,143862
460,The Fighter,2010,"Biography,Drama,Sport",7.8,316539
461,Pushin' Up Daisies,2010,Comedy,8.1,20
462,Have You Heard from Johannesburg: Hell of a Job,2010,Documentary,7.4,9
